Customer Number,PEAK,PEAK TIME,MIN,MIN TIME,MAXROC,HOURBEFORE,VAR,TOTAL,LOADFAC
1,1080,2,0,1,1080,1,78203.2971,16009,0.617631173
2,918,2,-88,14,-228,2,83183.88406,9532,0.432643428
3,1372,8,192,13,472,7,92726.07971,12895,0.391612002
4,1580,8,110,13,580,7,151416.2319,11766,0.31028481
5,1254,7,146,6,1108,6,103852.1739,10613,0.352638224
6,1068,7,30,13,736,6,76472.63043,7958,0.310471286
7,674,8,88,13,288,7,20250.66667,5995,0.370610781
8,444,8,-2,13,154,3,18496.97826,5357,0.502721471
9,1570,21,338,15,574,20,99049.27536,13777,0.365631635
10,1734,8,478,21,572,7,106298.2536,18818,0.452181853
11,1644,8,436,21,446,7,94310.14493,18045,0.457344891
12,1484,8,322,24,454,7,107823.2754,16951,0.475937781
13,908,8,236,22,228,7,27698.07971,10590,0.48595815
14,868,8,208,14,394,7,24414.84058,8463,0.40625
15,564,24,120,13,-170,10,20194.31884,7708,0.569444444
16,656,6,154,12,132,4,16746.77536,8023,0.509590955
17,746,8,226,21,352,1,23008.78261,9333,0.521280161
18,746,8,242,1,-236,9,16923.2971,8793,0.491119303
19,938,8,252,12,-372,10,29100.75362,11877,0.527585288
20,1386,8,284,21,-406,9,105680,14811,0.445256133
21,996,8,130,14,-284,9,53206.57971,9105,0.380898594
22,632,24,-20,13,-246,9,38574.57971,6329,0.417260021
23,690,9,-16,13,-288,10,41142.54348,8911,0.538103865
24,1196,8,292,13,490,7,46032.43478,12469,0.434399387
25,1452,8,238,23,-594,9,106981.2101,13447,0.385875803
26,974,8,176,13,336,7,42931.06522,10086,0.431468172
27,876,8,100,15,-300,10,34047.27536,8034,0.382134703
28,590,9,-46,13,-346,19,29261.73188,5802,0.409745763
29,400,5,-158,14,300,17,25371.01449,3769,0.392604167
30,788,4,-30,14,354,3,51538.60145,7827,0.413864213
31,1610,8,496,4,842,7,84694.49275,19947,0.516226708
32,1792,8,502,4,970,4,119474.3188,24751,0.575497582
33,1852,8,384,22,864,22,155552.9783,23709,0.533409827
34,1744,9,474,11,-822,9,115659.2174,18303,0.437284977
35,558,4,370,15,-94,14,3731.710145,10986,0.820340502
36,534,24,190,12,-154,11,9910.543478,9366,0.730805243
37,674,24,510,15,-38,12,1615.536232,13544,0.837289812
38,752,5,472,20,170,23,11369.27536,14075,0.779864805
39,1038,24,758,1,68,1,5082.057971,22138,0.888648041
40,1066,3,170,23,-598,19,86287.23913,16713,0.65325985
41,1454,8,148,24,-630,9,122550.2319,14429,0.413485786
42,1122,7,166,23,458,6,53726.95652,11254,0.417929293
43,596,4,132,17,-324,9,26478.69565,8250,0.576761745
44,464,5,-150,15,250,21,40105.55797,5071,0.455369971
45,958,9,-4,13,-358,12,62056,8063,0.350687196
46,690,8,-60,14,-386,8,26611.23913,5343,0.322644928
47,504,9,-98,14,-348,11,26332.86232,4837,0.399884259
48,454,8,-62,13,268,7,12071.04348,4862,0.446218796
49,648,8,-78,13,-238,9,26385.97101,5220,0.335648148
50,564,23,-168,14,-296,23,36062.84058,3674,0.27142435
51,412,24,-86,14,-130,10,25540.86957,4313,0.436185275
52,468,8,-50,14,-180,10,32261.21014,5842,0.520121083
53,410,8,22,14,-142,9,16488.92754,5734,0.582723577
54,390,8,14,14,-124,9,15373.38406,5562,0.594230769
55,466,8,68,14,132,17,13143.12319,7059,0.631169528
56,540,10,404,24,-50,11,1457.152174,10812,0.834259259
57,402,1,-170,14,-152,10,34099.91304,4002,0.414800995
58,342,24,92,16,104,16,5351.304348,5267,0.641691033
59,352,1,-48,15,-186,11,18148.63043,4864,0.575757576
60,348,8,-28,14,-138,9,15419.64493,4591,0.549688697
61,408,8,-14,14,162,18,11832.34783,4755,0.48560049
62,276,3,-76,12,-134,3,7591.818841,3054,0.461050725
63,222,19,-44,15,118,17,6320.688406,2531,0.475037538
64,150,20,-206,14,-108,11,12664.51449,1485,0.4125
65,152,20,-66,12,-84,9,4918.231884,2187,0.599506579
66,270,17,142,1,-60,19,2664.57971,4759,0.73441358
67,258,11,-42,14,-226,13,3744.514493,3866,0.624354005
68,222,19,-108,13,208,16,12838.60145,2228,0.418168168
69,226,19,-96,14,-98,9,10831.23913,2217,0.408738938
70,214,19,-28,16,104,17,5824.282609,2648,0.515576324
71,154,24,-180,13,182,13,10776.78261,1807,0.488906926
72,154,2,-200,15,124,15,15964.51449,1091,0.295183983
73,234,9,-88,15,-224,12,8676.144928,2848,0.507122507
74,214,9,-58,14,-174,13,4354.666667,3127,0.608839564
75,218,9,-92,15,-108,13,7550.253623,2714,0.518730887
76,224,9,-104,14,158,16,10984.69565,2514,0.467633929
77,236,10,-114,14,-236,13,10944.16667,2782,0.491172316
78,154,1,-188,14,112,19,15818.42754,1059,0.286525974
79,152,4,-140,12,130,16,11810.77536,1507,0.41310307
80,226,9,-106,15,-124,12,10793.36232,2419,0.445980826
81,210,9,-124,15,-178,11,11746.75362,2201,0.436706349
82,214,8,-118,14,-96,10,12692.4058,1986,0.386682243
83,212,9,-84,13,246,16,7823.76087,2683,0.527319182
84,204,8,-78,14,226,14,3387.23913,3310,0.676062092
85,160,21,-194,14,-124,9,16093.18841,1263,0.32890625
86,154,21,-196,13,110,18,19188.52174,811,0.219426407
87,256,10,-52,16,-98,12,5327.644928,3137,0.510579427
88,212,8,-116,14,122,17,12743.76087,1870,0.367531447
89,246,19,-66,16,158,18,8240.456522,2684,0.454607046
90,392,9,-90,15,188,15,16678.8913,3497,0.371704932
91,256,8,-58,16,-190,10,7498.369565,2935,0.477701823
92,356,8,-194,15,-178,10,23304.31884,1553,0.181764981
93,424,24,8,10,-146,9,12074.25362,5173,0.508352987
94,704,8,-108,16,-210,13,51743.30435,6405,0.379083807
95,422,8,-84,14,-238,9,20045.53623,3011,0.297294629
96,354,11,150,2,128,3,4209.275362,5067,0.596398305
97,520,8,-104,15,-314,11,28563.71014,4065,0.325721154
98,488,8,-92,15,-268,10,22625.55797,3421,0.292093579
99,284,24,-198,14,-170,10,24414.14493,1544,0.226525822
100,276,7,-212,14,-140,9,25336.66667,2151,0.324728261
101,610,8,168,23,258,7,11083.64493,6737,0.460177596
102,412,9,146,4,144,7,4500.405797,5504,0.556634304
103,384,9,148,1,138,7,3705.275362,5679,0.616210938
104,548,8,-94,17,-212,15,29682.31884,5945,0.452022506
105,670,8,-146,15,256,7,48748.63043,3861,0.24011194
106,274,7,-216,14,-178,9,23934.77536,1644,0.25
107,304,5,-228,15,-168,14,22781.32609,1679,0.230126096
108,484,8,-30,14,-280,9,14618.42754,3969,0.341683884
109,410,8,-46,12,-212,10,12245.55797,3486,0.354268293
110,536,9,20,13,-234,11,16215.76087,5306,0.412468905
111,480,8,-118,14,228,7,27035.2971,3482,0.302256944
112,430,8,-138,13,210,7,22076.05797,2597,0.251647287
113,314,7,-154,14,-196,13,18517.30435,3149,0.417860934
114,376,1,42,16,-74,12,12396.75362,5584,0.618794326
115,710,8,-88,14,300,7,40017.38406,5755,0.337734742
116,464,8,-18,14,-150,10,13166.69565,4273,0.383710489
117,504,8,-142,15,-226,9,32188.14493,3130,0.258763228
118,508,8,-118,15,-236,9,27866.60145,3252,0.266732283
119,310,8,-42,14,-182,8,7870.427536,3085,0.414650538
120,346,7,-190,16,-184,11,28168.69565,2626,0.316233141
121,348,6,-118,16,-168,9,28037.44928,3678,0.440373563
122,742,8,-50,12,326,7,40464.68841,5279,0.296439802
123,434,8,-108,12,-174,9,17160.34058,3174,0.304723502
124,298,8,-114,13,182,15,10154.77536,3164,0.442393736
125,424,8,-124,13,-188,8,19236.86957,2413,0.237126572
126,228,8,-116,12,-238,11,10841.38406,2511,0.458881579
127,186,22,-206,13,176,14,17616.1087,900,0.201612903
128,178,3,-198,14,-114,8,21295.93478,536,0.125468165
129,222,7,-110,14,-180,11,12459.76087,2403,0.451013514
130,192,20,-108,14,-128,11,9899.992754,2192,0.475694444
131,398,11,152,4,-114,19,6447.76087,6265,0.655883585
132,456,9,66,18,160,7,9053.217391,5783,0.528417398
133,410,8,-120,13,-184,9,24767.23913,2818,0.286382114
134,424,23,98,9,212,15,12612.26087,4883,0.47985456
135,482,8,104,15,86,7,13065.55797,6353,0.549187414
136,574,8,-86,15,-280,10,30882.17391,4408,0.319976771
137,312,9,14,13,-168,18,5529.557971,4028,0.53792735
138,326,18,88,12,-142,11,3642.753623,4744,0.606339468
139,448,9,156,20,-186,19,5880.231884,6640,0.617559524
140,512,8,-70,13,256,16,20674.05797,4267,0.347249349
141,262,6,-120,13,134,13,13709.7971,2017,0.32076972
142,224,7,-154,17,-148,8,12446.25362,1772,0.329613095
143,274,8,-36,12,212,12,4675.710145,3180,0.483576642
144,318,8,118,20,136,7,2564.521739,4469,0.585560797
145,338,8,-52,16,-136,11,9930.427536,2929,0.36107002
146,270,8,-42,14,134,16,5585.905797,2792,0.430864198
147,242,8,-108,14,-134,9,9439.471014,2047,0.352444904
148,176,5,-156,13,-94,9,14460.16667,1243,0.294270833
149,210,8,-174,14,-104,11,16022.84058,1400,0.277777778
150,202,8,-134,13,-94,9,13806.57971,1262,0.260313531
151,300,8,-86,14,-144,8,15063.2971,2203,0.305972222
152,240,19,28,11,-90,19,3006.427536,3115,0.540798611
153,186,23,-64,14,104,18,7012.282609,2184,0.489247312
154,206,19,-92,14,190,16,9959.971014,2085,0.421723301
155,154,22,-158,13,84,19,14413.53623,907,0.245400433
156,174,24,-144,15,78,15,12204.63043,1140,0.272988506
157,182,22,-42,13,140,13,3322.775362,2739,0.62706044
158,192,23,-54,15,84,17,6696.318841,2006,0.435329861
159,210,17,-64,14,146,15,7085.152174,2607,0.517261905
160,250,10,74,16,-92,19,1825.210145,4030,0.671666667
161,204,8,-84,15,-126,10,9205.449275,2243,0.458129085
162,176,23,-154,13,170,13,10661.03623,1430,0.338541667
163,182,22,-152,14,146,14,12591.2971,1161,0.265796703
164,204,8,-52,13,86,15,6035.992754,2558,0.52246732
165,172,21,-352,14,-278,13,16773.67391,1350,0.327034884
166,186,22,-230,12,-170,11,17041.62319,1225,0.274417563
167,174,22,-264,11,-346,10,17068.84058,1442,0.345306513
168,168,22,-284,11,302,12,17007.30435,1362,0.337797619
169,148,1,-544,13,-278,11,36124.17391,215,0.060529279
170,148,22,-148,13,200,13,8205.731884,1711,0.48170045
171,224,11,2,15,118,15,2595.992754,3131,0.582403274
172,170,8,-68,12,100,14,4849.362319,2164,0.530392157
173,176,21,-450,14,314,15,43409.03623,297,0.0703125
174,176,22,-362,12,320,15,35285.03623,845,0.200047348
175,172,22,-64,14,88,18,7049.557971,1953,0.473110465
176,310,19,92,20,-218,19,2133.188406,2968,0.398924731
177,150,1,-170,14,-76,8,15960.45652,486,0.135
178,184,22,-60,13,176,15,6207.884058,2239,0.507019928
179,182,22,-48,13,76,17,4771.913043,2423,0.554716117
180,240,17,-22,12,-176,17,4151.188406,2760,0.479166667
181,258,17,-218,12,266,12,8033.275362,2735,0.441698966
182,160,22,-458,15,-276,12,43295.12319,-249,-0.06484375
183,154,1,-512,13,226,14,59434.02174,-1756,-0.475108225
184,152,2,-508,13,282,17,69383.18841,-1884,-0.516447368
185,160,22,-484,14,194,18,67339.36232,-2028,-0.528125
186,224,19,-368,14,294,15,32599.12319,1351,0.251302083
187,180,23,-360,14,214,14,28765.55797,283,0.065509259
188,214,19,-362,12,320,12,35030.23188,754,0.146806854
189,174,22,-420,13,-416,15,40254.07971,34,0.008141762
190,152,19,-466,13,172,14,43831.53623,-539,-0.147752193
191,150,5,-362,15,430,17,25706.52174,206,0.057222222
192,244,19,-294,12,208,16,24443.41304,1548,0.264344262
193,184,21,-388,13,348,15,37290.07971,715,0.161911232
194,220,19,-432,14,366,17,55662.84058,-412,-0.078030303
195,224,16,-406,14,466,14,33490.31884,1134,0.2109375
196,176,22,-434,14,184,18,54380.26087,-1120,-0.265151515
197,150,23,-444,15,-416,13,41871.2971,215,0.059722222
198,154,23,-512,15,184,20,70258.25362,-2306,-0.623917749
199,188,21,-388,14,178,19,49016.86232,-666,-0.147606383
200,286,18,-370,15,400,16,45175.18841,869,0.126602564
201,184,22,-334,12,-208,14,34078.8913,8,0.001811594
202,180,22,-402,14,516,15,38345.73188,3,0.000694444
203,186,22,-440,14,200,14,41912.69565,-489,-0.109543011
204,158,23,-510,14,180,18,70678.84058,-2007,-0.529272152
205,160,22,-512,15,222,19,71248.43478,-2130,-0.5546875
206,180,21,-374,13,320,14,37254.69565,-3,-0.000694444
207,202,20,-326,12,244,18,23111.64493,1201,0.247731023
208,214,19,-352,13,276,15,34625.62319,622,0.121105919
209,174,22,-426,15,508,15,45827.44928,-153,-0.036637931
210,178,21,-422,14,188,17,50651.12319,-814,-0.190543071
211,160,22,-522,14,-178,9,72141.9058,-2186,-0.569270833
212,160,22,-508,14,304,18,71800.16667,-1877,-0.488802083
213,180,22,-256,12,-144,9,15835.2971,1478,0.34212963
214,172,22,-304,13,450,13,19799.2971,1547,0.374757752
215,226,19,-398,13,314,17,45742.71739,227,0.041851032
216,172,22,-388,13,482,13,26358.6087,1288,0.312015504
217,176,21,-432,15,242,16,52300.86957,-849,-0.200994318
218,154,22,-540,14,-182,9,67476.51449,-1706,-0.461580087
219,158,22,-532,14,-174,9,69745.47826,-1981,-0.522415612
220,180,22,-466,15,-152,9,57425.62319,-1309,-0.303009259
221,188,22,-432,15,310,16,48939.91304,-379,-0.083998227
222,194,10,-442,14,-304,10,47345.01449,116,0.024914089
223,184,21,-386,13,214,15,41056,-77,-0.017436594
224,176,22,-426,14,-152,9,52882.60145,-977,-0.231297348
225,156,22,-520,14,-186,9,72745.9058,-2081,-0.55582265
226,156,22,-350,12,202,16,30819.81884,161,0.043002137
227,196,8,-420,14,242,14,42802.31884,-9,-0.001913265
228,178,22,-396,13,420,14,33753.01449,705,0.16502809
229,184,22,-420,13,176,18,45596.75362,-569,-0.128849638
230,178,21,-426,14,256,16,47249.27536,-184,-0.043071161
231,216,19,-120,13,152,18,9494.347826,2164,0.417438272
232,154,21,-518,14,-208,9,74270.8913,-1946,-0.526515152
233,156,1,-466,13,250,14,38011.41304,70,0.018696581
234,196,8,-322,12,274,18,31381.32609,378,0.080357143
235,182,21,-414,15,192,16,43444.86957,-133,-0.030448718
236,190,8,-406,14,220,16,36991.41304,435,0.095394737
237,190,8,-386,14,328,16,41583.99275,585,0.128289474
238,198,8,-352,14,408,15,36078.42754,936,0.196969697
239,156,21,-478,12,390,16,54755.93478,-524,-0.139957265
240,158,21,-502,13,-254,8,56418.75362,-541,-0.142668776
241,176,20,-352,14,-394,13,23588.84058,881,0.208570076
242,188,20,-396,12,280,13,30835.81884,529,0.117242908
243,180,20,-420,13,268,15,43210.75362,351,0.08125
244,174,19,-420,14,208,16,35603.44928,632,0.151340996
245,170,8,-404,15,362,16,40998.6087,304,0.074509804
246,146,2,-576,13,224,16,79811.44928,-2031,-0.579623288
247,158,20,-556,13,-206,8,80312.23188,-2182,-0.575421941
248,164,20,-498,12,-192,8,55073.15217,-1056,-0.268292683
249,192,8,-50,13,108,14,4319.297101,3040,0.659722222
250,252,13,140,6,-56,13,962.4275362,4153,0.68667328
251,188,8,-426,13,294,17,51421.38406,-182,-0.040336879
252,182,8,-444,15,-180,9,53141.15217,-750,-0.171703297
253,152,23,-512,14,-188,9,68394.31884,-1745,-0.478344298
254,146,1,-508,14,-192,9,65270.42754,-1504,-0.429223744
255,202,8,-426,14,-298,11,32734.71739,723,0.149133663
256,194,8,-280,15,304,17,22062.77536,1357,0.29145189
257,232,19,96,16,-78,15,943.1231884,3650,0.655531609
258,190,8,-172,13,184,18,12619.12319,1902,0.417105263
259,180,8,-456,14,342,14,42759.81884,-75,-0.017361111
260,148,23,-344,13,286,14,27335.65217,507,0.142736486
261,152,22,-520,14,286,18,68326.92754,-1605,-0.439967105
262,192,8,-394,14,310,17,43651.01449,-128,-0.027777778
263,182,8,-254,17,260,17,24924.51449,777,0.177884615
264,180,20,-448,14,252,15,45018.17391,-157,-0.036342593
265,294,21,-440,14,176,18,54686,-282,-0.039965986
266,188,8,-382,15,232,18,47703.27536,-236,-0.052304965
267,258,5,-448,14,-190,9,59599.12319,-835,-0.134851421
268,176,20,-440,13,-248,9,57075.93478,-827,-0.195785985
269,200,8,-366,14,-242,10,38819.10145,601,0.125208333
270,200,21,-366,14,-198,11,42041.55797,367,0.076458333
271,204,21,-350,13,166,18,41594.07971,212,0.043300654
272,224,8,-394,14,-318,12,40264.34058,983,0.182849702
273,274,21,-394,14,-190,9,47780.75362,128,0.01946472
274,154,24,-446,14,240,16,49473.73913,-245,-0.066287879
275,262,4,-426,13,302,13,35880.97826,354,0.05629771
276,228,3,-356,14,192,17,40305.27536,709,0.129568713
277,232,19,-326,13,332,14,28472.45652,1940,0.34841954
278,296,22,-162,13,340,19,24266.94928,1169,0.16455518
279,220,23,-410,14,362,16,44549.73188,816,0.154545455
280,224,23,-402,14,198,18,49729.71014,45,0.008370536
281,352,23,-206,17,-274,16,11669.10145,3272,0.387310606
282,328,5,-476,13,-252,9,75417.71014,1023,0.129954268
283,542,8,-386,15,-404,9,74880.34058,1701,0.130765683
284,250,8,-366,13,-290,10,30582.23188,1256,0.209333333
285,274,8,-390,15,198,17,50475.47101,383,0.058242092
286,252,8,-370,14,-304,10,47907.36232,724,0.119708995
287,272,8,-376,15,240,18,46544.51449,517,0.079197304
288,200,7,-426,15,-204,12,39853.30435,325,0.067708333
289,176,22,-456,14,-256,10,45239.62319,-218,-0.051609848
290,308,8,-104,12,-276,11,6251.826087,3707,0.501488095
291,604,8,-398,14,-458,11,81811.44928,3348,0.230960265
292,516,8,-366,14,-312,10,62255.62319,1787,0.144299096
293,362,8,-344,14,-212,10,43491.64493,1135,0.130639963
294,266,20,-276,15,-188,10,31711.62319,1290,0.202067669
295,176,23,-398,13,-186,10,43659.23913,-184,-0.043560606
296,172,5,-444,14,-180,10,51867.7971,-511,-0.12378876
297,280,8,-326,14,-246,10,39405.21739,1034,0.153869048
298,256,18,-286,13,-240,10,22417.38406,2411,0.392415365
299,540,10,170,2,208,7,10928.23188,8475,0.653935185
300,720,8,192,23,214,7,17176.86232,8922,0.516319444
301,528,9,140,23,132,7,10936.80435,6878,0.542771465
302,350,24,136,14,202,23,4341.565217,4324,0.514761905
303,350,6,-390,15,168,18,56039.76087,2327,0.27702381
304,318,9,-308,15,-260,11,36837.9058,1639,0.214753669
305,420,9,-160,16,-352,15,15809.03623,5502,0.545833333
306,646,8,276,20,228,7,8710.231884,9387,0.605456656
307,780,8,-798,15,-1172,14,80680.1087,8177,0.436805556
308,530,8,68,18,172,7,13740.52174,5593,0.439701258
309,298,22,-270,14,-314,11,28213.38406,2535,0.354446309
310,382,7,-420,13,-246,9,71987.81884,1899,0.207133508
311,630,8,-198,13,290,7,43118.07971,5258,0.347751323
312,570,8,-282,14,-294,9,50101.10145,4158,0.303947368
313,574,8,-202,13,294,16,44747.12319,4372,0.317363531
314,512,8,-320,13,-310,10,54325.73188,2958,0.240722656
315,480,8,-272,11,-340,10,29241.01449,3105,0.26953125
316,260,7,-384,13,514,13,35673.01449,1231,0.197275641
317,288,24,-264,12,-206,9,35559.06522,2416,0.349537037
318,628,8,-298,13,-342,9,57203.7971,3804,0.252388535
319,398,9,-264,14,-298,9,36487.88406,2951,0.308940536
320,684,8,-192,13,-316,10,47267.7971,5429,0.330713938
321,634,8,-216,14,-344,9,41267.10145,4786,0.314537329
322,262,22,-524,13,-332,9,72572.51449,650,0.103371501
323,378,24,-566,14,-420,9,95439.97101,657,0.072420635
324,390,1,-526,14,-350,9,101509.5362,2129,0.227457265
325,628,8,-150,13,266,17,34547.36232,5676,0.376592357
326,540,8,-390,12,564,12,49405.10145,3632,0.280246914
327,402,10,-426,14,-340,11,52699.2971,1764,0.182835821
328,394,8,-572,13,-466,10,76772.05797,957,0.101205584
329,396,8,-382,15,282,16,36783.2971,3081,0.324179293
330,432,5,-616,13,-334,9,131015.1884,2105,0.203028549
331,378,3,-558,13,-278,9,102354.7754,1128,0.124338624
332,380,10,68,13,174,6,6610.07971,4894,0.536622807
333,690,8,-434,13,-362,9,81733.53623,2813,0.16986715
334,394,8,-456,13,-470,11,58010.66667,2089,0.220917936
335,618,8,174,1,278,7,19775.30435,9931,0.669565804
336,802,8,196,22,268,7,28623.58696,9530,0.495116376
337,618,24,226,1,116,20,10259.47101,8724,0.588187702
338,616,24,248,14,86,18,15135.97101,10134,0.685470779
339,906,8,352,21,308,7,17046.8913,13045,0.599935614
340,892,8,226,22,298,7,33463.12319,10582,0.494301196
341,562,8,186,24,148,7,9841.847826,7351,0.545002966
342,594,8,242,15,206,7,10035.71014,8069,0.566007295
343,740,8,228,22,230,7,19299.44928,8541,0.480912162
344,442,8,82,13,-172,9,15105.36232,6207,0.585124434
345,408,5,58,14,-120,9,14788.63043,5502,0.561887255
346,714,8,232,15,298,7,14911.97101,8172,0.476890756
347,724,8,166,14,326,7,21685.65217,7754,0.446247698
348,542,8,90,15,180,7,13923.12319,6455,0.496233087
349,610,8,80,14,256,7,16441.55797,6563,0.44829235
350,660,8,60,13,270,7,22138.43478,6622,0.418055556
351,408,5,-60,14,-124,9,26425.01449,5147,0.52563317
352,374,8,-104,14,-152,9,25805.67391,4013,0.447081105
353,602,8,224,22,210,7,9215.471014,8298,0.574335548
354,718,8,-260,15,330,7,55497.27536,6408,0.371866295
355,660,8,-16,11,-290,10,27543.2971,6082,0.383964646
356,614,24,232,1,120,20,9468.514493,9011,0.611495657
357,712,8,164,23,338,7,21559.81884,7744,0.453183521
358,494,8,62,15,-164,10,12895.12319,5499,0.463815789
359,528,8,60,14,-168,9,15479.53623,5556,0.43844697
360,658,8,24,16,346,7,19159.23913,5206,0.329660588
361,406,5,-110,13,-166,10,25632.68841,5236,0.537356322
362,742,9,40,14,-268,11,38962.42754,7678,0.431154537
363,680,8,-390,14,-386,12,56173.21014,4979,0.305085784
364,394,8,-182,11,-326,9,36535.81884,3555,0.375951777
365,392,5,-596,14,-380,10,113782.5797,2058,0.21875
,,,,,,,,,
